Comment,Designator,Footprint,LCSC
"SJ1-3523N","A1","C64 Composite Modulator:CUI_SJ1-3523N",""
"RV1 Bypass","B1","C64 Composite Modulator:J_0805_2012Metric",""
"RV2 Bypass","B2","C64 Composite Modulator:J_0805_2012Metric",""
"BCD(DOT)","BCD1","BCD:BCD_LOGO_DOT-xxxsmall",""
"CC-BY","BY1","BCD:CC-BY-xxxsmall",""
"10uF","C1,C4","Capacitor_SMD:C_1206_3216Metric","C13585"
"33nF","C2","Capacitor_SMD:C_0805_2012Metric","C1740"
"100nF","C3","Capacitor_SMD:C_0805_2012Metric","C49678"
"330pF","C5","Capacitor_SMD:C_0805_2012Metric","C51207"
"68pF","C6","Capacitor_SMD:C_0805_2012Metric","C1834"
"CC","CC1","BCD:CC-Logo-xxxsmall",""
"1N4148","D1","Diode_SMD:D_SOD-323F","C2128"
"Danger","Danger1","BCD:Danger-xxxsmall",""
"Conn_01x04_Male","J1,J2,J3,J4","C64 Composite Modulator:mill-max-800-10-004-10-001000","C9742"
"Jumper_3_Open","JP1,JP2,JP3","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","C2337"
"10uH","L1","Inductor_SMD:L_1206_3216Metric","C1051"
"Conn_01x01_Male","LB1,SB1,LB2,SB2,LB3,LB4","C64 Composite Modulator:mill-max-800-10-001-10-001000","C9742"
"CC-NC","NC1","BCD:CC-NC-xxxsmall",""
"OSHW","OSHW1","BCD:OSHW-xxxsmall",""
"BC847B","Q1,Q2","Package_TO_SOT_SMD:SOT-23","C118728"
"75","R10","Resistor_SMD:R_0805_2012Metric","C17820"
"3K3","R2","Resistor_SMD:R_0805_2012Metric","C26010"
"5K6","R3","Resistor_SMD:R_0805_2012Metric","C4382"
"68","R4","Resistor_SMD:R_0805_2012Metric","C17802"
"220","R5","Resistor_SMD:R_0805_2012Metric","C17557"
"470","R6","Resistor_SMD:R_0805_2012Metric","C17710"
"1K","R1,R7","Resistor_SMD:R_0805_2012Metric","C17513"
"150","R8,R9,R11","Resistor_SMD:R_0805_2012Metric","C17471"
"200","RV1,RV2","Potentiometer_THT:Potentiometer_Bourns_3266W_Vertical","C124981"
"CC-SA","SA1","BCD:CC-SA-xxxsmall",""
"TestPoint","TP1,TP2,TP3,TP4,TP5,TP6,TP7","TestPoint:TestPoint_THTPad_1.0x1.0mm_Drill0.5mm",""
"78L05","U1","Package_TO_SOT_SMD:SOT-89-3","C71136"
"Conn_Coaxial","V1","C64 Composite Modulator:CUI_RCJ-014",""
